"GEOID","wq_risk","comb_risk","wq_score","ex_risk","Pop18","adj_dw","statesmallcount","dwss_cou","dwss_den","DAC_status"
"060372932021",0,0,0,0,674,0,0,0,0,"DAC"
"060372932022",0,0,0,0,2536,0,0,0,0,"DAC"
"060372932023",0,0,0,0,3413,0,0,0,0,"SDAC"
"060372933011",0,0,0,0,3033,0,0,0,0,"None"
"060372933042",0,0,0,0,1880,0,0,0,0,"None"
"060372933061",0,0,0,0,727,0,0,0,0,"None"
"060372933062",0,0,0,0,1724,0,0,0,0,"None"
"060372933071",0,0,0,0,1571,0,0,0,0,"DAC"
"060372933072",0,0,0,0,981,0,0,0,0,"SDAC"
"060372941202",0,0,0,0,1146,0,0,0,0,"DAC"
"060372943021",0,0,0,0,2020,0,0,0,0,"DAC"
"060372944211",0,0,0,0,1048,0,0,0,0,"DAC"
"060372947011",0,0,0,0,627,0,0,0,0,"None"
"060372948102",0,0,0,0,2181,0,0,0,0,"DAC"
"060372948202",0,0,0,0,1452,0,0,0,0,"SDAC"
"060372948301",0,0,0,0,2985,0,0,0,0,"SDAC"
"060372948302",0,0,0,0,907,0,0,0,0,"SDAC"
"060372949001",0,0,0,0,2170,0,0,0,0,"SDAC"
"060372949002",0,0,0,0,1467,0,0,0,0,"DAC"
"060372951031",0,0,0,0,3144,0,0,0,0,"None"
"060372951032",0,0,0,0,1837,0,0,0,0,"None"
"060372963001",0,0,0,0,1480,0,0,0,0,"None"
"060372963002",0,0,0,0,3457,0,0,0,0,"None"
"060373010003",0,0,0,0,1281,0,0,0,0,"DAC"
"060373021031",0,0,0,0,1735,0,0,0,0,"DAC"
"060373021032",0,0,0,0,2462,0,0,0,0,"SDAC"
"060373021041",0,0,0,0,782,0,0,0,0,"None"
"060373021042",0,0,0,0,1343,0,0,0,0,"None"
"060373021043",0,0,0,0,2028,0,0,0,0,"DAC"
"060374006032",0,0,0,0,1354,0,0,0,0,"None"
"060374012022",0,0,0,0,932,0,0,0,0,"None"
"060374012023",0,0,0,0,2137,0,0,0,0,"None"
"060374012031",0,0,0,0,2314,0,0,0,0,"None"
"060374012032",0,0,0,0,2981,0,0,0,0,"None"
"060374019023",0,0,0,0,979,0,0,0,0,"None"
"060374037031",0,0,0,0,2105,0,0,0,0,"None"
"060374037032",0,0,0,0,1951,0,0,0,0,"None"
"060374037033",0,0,0,0,590,0,0,0,0,"None"
"060374037211",0,0,0,0,1263,0,0,0,0,"None"
"060374037212",0,0,0,0,2149,0,0,0,0,"None"
"060374038011",0,0,0,0,3147,0,0,0,0,"None"
"060374038012",0,0,0,0,1477,0,0,0,0,"None"
"060374038013",0,0,0,0,468,0,0,0,0,"None"
"060374038021",0,0,0,0,1773,0,0,0,0,"None"
"060374038022",0,0,0,0,1023,0,0,0,0,"None"
"060374038023",0,0,0,0,3616,0,0,0,0,"None"
"060374039021",0,0,0,0,2050,0,0,0,0,"None"
"060374039022",0,0,0,0,686,0,0,0,0,"None"
"060374039023",0,0,0,0,2325,0,0,0,0,"None"
"060374300021",0,0,0,0,1026,0,0,0,0,"None"
"060374300022",0,0,0,0,916,0,0,0,0,"None"
"060374300023",0,0,0,0,1241,0,0,0,0,"None"
"060374300024",0,0,0,0,904,0,0,0,0,"None"
"060374300025",0,0,0,0,2624,0,0,0,0,"None"
"060374300031",0,0,0,0,1121,0,0,0,0,"None"
"060374300033",0,0,0,0,0,0,0,0,0,"Data Not Available"
"060374300034",0,0,0,0,693,0,0,0,0,"None"
"060374305012",0,0,0,0,1039,0,0,0,0,"None"
"060374328023",0,0,0,0,1960,0,0,0,0,"DAC"
"060374630001",0,0,0,0,740,0,0,0,0,"None"
"060374820011",0,0,0,0,1891,0,0,0,0,"None"
"060374820021",0,0,0,0,1282,0,0,0,0,"None"
"060374821012",0,0,0,0,1345,0,0,0,0,"DAC"
"060374823014",0,0,0,0,941,0,0,0,0,"SDAC"
"060374823015",0,0,0,0,843,0,0,0,0,"DAC"
"060375002011",0,0,0,0,2079,0,0,0,0,"None"
