"WELL_ID","PRF1","PRF2","PRF3","PL1","PL2","risk","LATITUDE","LONGITUDE","SOURCE"
"SCRC-B18",0,1,NA,"","NO3N","med",34.92916667,-120.36805556,"USGS"
"SCRC-B19",0,0,NA,"","","low",34.89016667,-120.31266667,"USGS"
"SCRC-B20",0,0,NA,"","","low",34.843,-120.22083333,"USGS"
"SCRC-B21",0,0,NA,"","","low",34.66311111,-120.537,"USGS"
"SCRC-B22",1,0,2.59,"NO3N","","high",34.95275,-120.53905556,"USGS"
"SCRC-B23",0,0,NA,"","","low",35.03525,-120.54133333,"USGS"
"SCRC-B24",0,0,NA,"","","low",34.87172222,-120.48363889,"USGS"
"SCRC-B25",0,0,NA,"","","low",34.96891667,-120.45383333,"USGS"
"SCRC-B26",0,0,NA,"","","low",34.68158333,-120.56302778,"USGS"
"SCRC-B27",0,0,NA,"","","low",35.04022222,-120.58841667,"USGS"
"SCRC-B28",0,0,NA,"","","low",35.02725,-120.49794444,"USGS"
